"RowNumber","Institution Name","Main Office","Branch Name","Branch Number","Established Date","Acquired Date","Street Address","City","County","State","Zipcode","Latitude","Longitude","2010 Deposits","2011 Deposits","2012 Deposits","2013 Deposits","2014 Deposits","2015 Deposits","2016 Deposits"
"1","JPMorgan Chase Bank","1","JPMorgan Chase Bank Main Office","0","1824-01-01","1824-01-01","1111 Polaris Parkway","Columbus","Delaware","OH","43240","40.144530000000003","-82.991150000000005","633131000","743268000","832455000","916543000","1032549000","1069425000","1155185000"
"2","JPMorgan Chase Bank","0","Vernon Hills Scarsdale Branch","2","1961-03-20","1961-03-20","676 White Plains Road","Scarsdale","Westchester","NY","10583","40.970080000000003","-73.806700000000006","293229","310791","325742","327930","327792","341475","381558"
"3","JPMorgan Chase Bank","0","Great Neck Northern Boulevard Branch","3","1963-09-09","1963-09-09","410 Northern Boulevard","Great Neck","Nassau","NY","11021","40.779440000000001","-73.722399999999993","191011","206933","216439","237983","234183","262455","278940"
"4","JPMorgan Chase Bank","0","North Hartsdale Branch","4","1966-02-19","1966-02-19","353 North Central Avenue","Hartsdale","Westchester","NY","10530","41.026539999999997","-73.791679999999999","87110","88367","93163","109659","111985","116772","140233"
"5","JPMorgan Chase Bank","0","Lawrence Rockaway Branch","5","1965-01-16","1965-01-16","335 Rockaway Turnpike","Lawrence","Nassau","NY","11559","40.62715","-73.736750000000001","172608","172749","189413","198445","205198","223200","235594"
"6","JPMorgan Chase Bank","0","Mount Vernon Branch","9","1964-02-25","1964-02-25","22 West First Street","Mount Vernon","Westchester","NY","10550","40.911439999999999","-73.838040000000007","146820","136672","140678","154313","148707","145499","151949"
"7","JPMorgan Chase Bank","0","Castle Hill Branch","12","1965-12-11","1965-12-11","784 Castle Hill Avenue","Bronx","Bronx","NY","10473","40.822920000000003","-73.848870000000005","75131","80172","82333","94538","97046","107166","110592"
"8","JPMorgan Chase Bank","0","Burnside Avenue Branch","15","1922-02-14","1922-02-14","5 West Burnside Avenue","Bronx","Bronx","NY","10453","40.85389","-73.907600000000002","39888","42546","43800","45867","51363","56693","62993"
"9","JPMorgan Chase Bank","0","Gun Hill Branch","16","1950-12-18","1950-12-18","1308 East Gun Hill Road","Bronx","Bronx","NY","10469","40.871510000000001","-73.848230000000001","73702","70049","70447","78946","80677","82756","88954"
"10","JPMorgan Chase Bank","0","Kingsbridge Road Branch","18","1924-08-18","1924-08-18","66 East Kingsbridge Road","Bronx","Bronx","NY","10468","40.866709999999998","-73.895619999999994","69778","72816","74729","75470","78759","83978","88674"
"11","JPMorgan Chase Bank","0","Riverdale Branch","20","1950-06-01","1950-06-01","3775 Riverdale Avenue","Bronx","Bronx","NY","10463","40.887630000000001","-73.90737","304300","311508","330224","360791","367202","364435","387333"
"12","JPMorgan Chase Bank","0","Washington Heights Branch","21","1909-01-02","1909-01-02","1421 Saint Nicholas Avenue","New York City","New York","NY","10033","40.849409999999999","-73.933700000000002","136997","142882","151420","158669","157862","163336","179566"
"13","JPMorgan Chase Bank","0","Broadway Branch","22","1926-07-12","1926-07-12","5581 Broadway","Bronx","Bronx","NY","10463","40.879130000000004","-73.904650000000004","113665","112165","122634","126619","124031","134475","131545"
"14","JPMorgan Chase Bank","0","Westchester Square Branch","24","1959-06-29","1959-06-29","2725 East Tremont Avenue","Bronx","Bronx","NY","10461","40.842390000000002","-73.845010000000002","155289","157396","161177","169839","167495","183544","194609"
"15","JPMorgan Chase Bank","0","Bay Parkway and 85th St Branch","26","1964-03-25","1964-03-25","8418 Bay Parkway","Brooklyn","Kings","NY","11214","40.602679999999999","-73.993039999999993","187794","195965","214398","227519","252124","278547","297821"
"16","JPMorgan Chase Bank","0","Grand Army Plaza Branch","33","1927-03-14","1927-03-14","401 Flatbush Avenue","Brooklyn","Kings","NY","11238","40.675759999999997","-73.971350000000001","135506","136764","146051","163797","178001","227647","255084"
"17","JPMorgan Chase Bank","0","Carroll Gardens Branch","34","1913-06-09","1913-06-09","79 Hamilton Avenue","Brooklyn","Kings","NY","11231","40.682789999999997","-74.005560000000003","46199","51254","54859","70898","69824","77536","79441"
"18","JPMorgan Chase Bank","0","Third Avenue & 51st Street Branch","37","1961-05-05","1961-05-05","850 Third Avenue","New York City","New York","NY","10022","40.756749999999997","-73.970079999999996","463550","456859","508804","540179","595786","581725","643283"
"19","JPMorgan Chase Bank","0","East End Branch","38","1961-05-22","1961-05-22","1495 York Avenue","New York City","New York","NY","10075","40.77158","-73.950379999999996","299301","306225","317068","359173","410737","425169","447613"
"20","JPMorgan Chase Bank","0","Audubon Branch","40","1917-04-02","1917-04-02","3940 Broadway","New York City","New York","NY","10032","40.839509999999997","-73.940770000000001","91380","97219","104093","106875","114292","122220","139830"
"21","JPMorgan Chase Bank","0","First Avenue & 72nd Street Branch","41","1964-06-15","1964-06-15","360 East 72nd Street","New York City","New York","NY","10021","40.768149999999999","-73.956959999999995","384454","364852","387515","440753","500574","483835","536219"
"22","JPMorgan Chase Bank","0","Soho Branch","42","1954-10-18","1954-10-18","525 Broadway","New York City","New York","NY","10012","40.722900000000003","-73.998890000000003","286082","320252","344141","385854","488886","508122","615029"
"23","JPMorgan Chase Bank","0","Times Square Branch","44","1927-05-02","1927-05-02","3 Times Square","New York City","New York","NY","10036","40.75658","-73.986289999999997","313024","338725","432032","449569","474047","495929","532606"
"24","JPMorgan Chase Bank","0","Broadway Lispenard Branch","45","1922-08-01","1922-08-01","407 Broadway","New York City","New York","NY","10013","40.722580000000001","-74.006240000000005","150592","160595","204645","244811","275726","306902","333954"
"25","JPMorgan Chase Bank","0","Chinatown Branch","46","1919-11-24","1919-11-24","180 Canal Street","New York City","New York","NY","10013","40.716679999999997","-73.997699999999995","480964","523824","589914","638030","715607","791413","892267"
"26","JPMorgan Chase Bank","0","Yorkville Branch","52","1914-06-15","1914-06-15","126 East 86th Street","New York City","New York","NY","10028","40.77966","-73.956090000000003","383871","410662","437302","490441","538860","526558","535283"
"27","JPMorgan Chase Bank","0","Columbus Avenue & 72nd Street Branch","62","1954-10-18","1954-10-18","260 Columbus Avenue","New York City","New York","NY","10023","40.777459999999998","-73.978849999999994","311593","350759","338917","356374","384371","383014","429310"
"28","JPMorgan Chase Bank","0","Bloomingdales Branch","63","1915-08-02","1915-08-02","770 Lexington Avenue","New York City","New York","NY","10065","40.763019999999997","-73.967609999999993","273852","284524","295659","301179","365023","356922","353925"
"29","JPMorgan Chase Bank","0","London Terrace Branch","64","1931-05-01","1931-05-01","475 West 23rd Street","New York City","New York","NY","10011","40.747430000000001","-74.003389999999996","143289","163960","168332","194739","224536","245573","249426"
"30","JPMorgan Chase Bank","0","Tremont Branch","71","1954-10-18","1954-10-18","601 East Tremont Avenue","Bronx","Bronx","NY","10457","40.84628","-73.892960000000002","48180","43965","45267","48717","53949","56093","56539"
"31","JPMorgan Chase Bank","0","Chelsea Branch","79","1921-06-15","1921-06-15","158 West 14th Street, 2nd Floor","New York City","New York","NY","10011","40.738030000000002","-73.998570000000001","201447","208175","207242","226551","236501","242861","260559"
"32","JPMorgan Chase Bank","0","Lexington Avenue & 72nd Street Branch","81","1917-01-15","1917-01-15","1003 Lexington Avenue","New York City","New York","NY","10021","40.770670000000003","-73.961979999999997","198144","187406","232051","238634","263619","293597","304304"
"33","JPMorgan Chase Bank","0","Sheridan Square Branch","82","1920-01-03","1920-01-03","204 West Fourth Street","New York City","New York","NY","10014","40.733330000000002","-74.002619999999993","307978","323295","339057","387560","398346","440728","454616"
"34","JPMorgan Chase Bank","0","Sutton Place Branch","83","1926-06-07","1926-06-07","994 First Avenue","New York City","New York","NY","10022","40.756799999999998","-73.964010000000002","381890","416914","446512","469062","437428","474278","513961"
"35","JPMorgan Chase Bank","0","Empire State Branch","85","1924-04-01","1924-04-01","349 Fifth Avenue and 34th Street","New York City","New York","NY","10016","40.748199999999997","-73.984729999999999","666584","655384","733993","833534","890817","7099781","15580897"
"36","JPMorgan Chase Bank","0","Fit Seventh Avenue Branch","86","1929-09-17","1929-09-17","305 Seventh Avenue","New York City","New York","NY","10001","40.746769999999998","-73.993629999999996","270220","289307","336648","359183","389188","400925","491408"
"37","JPMorgan Chase Bank","0","West 86th Street Branch","95","1929-12-09","1929-12-09","59 West 86th Street","New York City","New York","NY","10024","40.786090000000002","-73.971069999999997","297520","298637","307545","329475","358566","359705","374965"
"38","JPMorgan Chase Bank","0","Gracie Square Branch","98","1938-02-01","1938-02-01","453 East 86th Street","New York City","New York","NY","10028","40.776429999999998","-73.948130000000006","199955","201831","226978","249119","270207","276765","291172"
"39","JPMorgan Chase Bank","0","Third Avenue & 41st Street Branch","99","1961-10-02","1961-10-02","633 Third Avenue","New York City","New York","NY","10017","40.749769999999998","-73.975179999999995","536930","534039","584368","652110","674841","708847","741339"
"40","JPMorgan Chase Bank","0","Exxon Building Branch","105","1959-09-09","1959-09-09","1251 Avenue Of The Americas","New York City","New York","NY","10020","40.759709999999998","-73.980649999999997","1633290","1755963","1915696","1999711","2004986","2008347","2072137"
"41","JPMorgan Chase Bank","0","Astoria 30th Avenue Branch","110","1961-06-19","1961-06-19","31-05 30th Avenue","Long Island City","Queens","NY","11102","40.7667","-73.920969999999997","148276","155347","176789","206933","228963","250939","272444"
"42","JPMorgan Chase Bank","0","Bay Terrace Branch","111","1960-06-06","1960-06-06","2398 Bell Boulevard","Bayside","Queens","NY","11360","40.779420000000002","-73.775630000000007","169397","164359","184653","210463","239369","253658","279639"
"43","JPMorgan Chase Bank","0","Far Rockaway Branch","112","1931-10-05","1931-10-05","1912 Mott Avenue","Far Rockaway","Queens","NY","11691","40.60378","-73.751999999999995","41599","41935","41661","46938","48890","51464","52268"
"44","JPMorgan Chase Bank","0","Downtown Flushing Branch","113","1906-01-29","1906-01-29","39-01 Main Street","Flushing","Queens","NY","11354","40.760010000000001","-73.830349999999996","488717","553758","665005","819541","984053","1101585","1246785"
"45","JPMorgan Chase Bank","0","Forest Hills 71st Ave Branch","114","1922-01-02","1922-01-02","107-36 71st Avenue","Forest Hills","Queens","NY","11375","40.721179999999997","-73.844099999999997","369462","377148","398091","436707","469300","502087","520197"
"46","JPMorgan Chase Bank","0","Columbia University Branch","117","1824-01-01","1824-01-01","2824-26 Broadway","New York City","New York","NY","10025","40.803690000000003","-73.966849999999994","476616","500560","509924","535937","552926","585744","645046"
"47","JPMorgan Chase Bank","0","Rochdale Village Mall Branch","118","1963-12-26","1963-12-26","165-40 Baisley Boulevard","Jamaica","Queens","NY","11434","40.67933","-73.777929999999998","79155","79979","79218","86187","92112","103283","111129"
"48","JPMorgan Chase Bank","0","Hunters Point Branch","121","1954-10-18","1954-10-18","10-51 Jackson Avenue","Long Island City","Queens","NY","11101","40.742510000000003","-73.952709999999996","130285","136220","146084","175561","188246","226631","248397"
"49","JPMorgan Chase Bank","0","Steinway and Broadway Branch","122","1919-01-27","1919-01-27","38-18 Broadway","Astoria","Queens","NY","11103","40.759230000000002","-73.919600000000003","191624","190802","210850","237922","242952","253736","321267"
"50","JPMorgan Chase Bank","0","Queens Blvd and 64th Ave Branch","123","1959-12-28","1959-12-28","97-41 Queens Boulevard","Rego Park","Queens","NY","11374","40.729430000000001","-73.859750000000005","188844","193020","202799","215948","225394","217878","224070"
"51","JPMorgan Chase Bank","0","Stapleton Branch","124","1928-05-01","1928-05-01","621 Bay Street","Staten Island","Richmond","NY","10304","40.626829999999998","-74.075670000000002","50571","49589","47365","53341","52521","54804","56262"
"52","JPMorgan Chase Bank","0","Oceanside Branch","127","1956-06-23","1956-06-23","3285 Long Beach Road","Oceanside","Nassau","NY","11572","40.63109","-73.640889999999999","186475","192357","211930","225057","220445","223883","292667"
"53","JPMorgan Chase Bank","0","Pelham Branch","129","1935-09-16","1935-09-16","35 Fifth Avenue","Pelham","Westchester","NY","10803","40.911760000000001","-73.809449999999998","195892","194287","202564","205522","229560","225678","246944"
"54","JPMorgan Chase Bank","0","Rockville Centre Branch","131","1963-06-04","1963-06-04","10 North Village Avenue","Rockville Centre","Nassau","NY","11570","40.656610000000001","-73.647639999999996","356382","372278","416956","446580","446229","471622","513718"
"55","JPMorgan Chase Bank","0","Hempstead Fulton Branch","132","1963-05-06","1963-05-06","136 Fulton Street","Hempstead","Nassau","NY","11550","40.706740000000003","-73.631469999999993","83334","80416","82907","91316","91996","92963","99338"
"56","JPMorgan Chase Bank","0","Forest Avenue Livermore Branch","136","1966-11-12","1966-11-12","1480 Forest Avenue","Staten Island","Richmond","NY","10302","40.624189999999999","-74.138310000000004","102440","103511","108168","167418","174257","195843","217998"
"57","JPMorgan Chase Bank","0","Woodbury Branch","137","1967-01-07","1967-01-07","7977 Jericho Turnpike","Woodbury","Nassau","NY","11797","40.814489999999999","-73.476650000000006","336232","364094","407292","434065","473883","443733","509827"
"58","JPMorgan Chase Bank","0","Elmsford Branch","138","1967-05-13","1967-05-13","324 Saw Mill River Road","Elmsford","Westchester","NY","10523","41.065510000000003","-73.81447","69960","82378","75417","100752","117726","174351","115819"
"59","JPMorgan Chase Bank","0","Plainview Branch","140","1967-11-10","1967-11-10","1064 Old Country Road","Plainview","Nassau","NY","11803","40.776299999999999","-73.470659999999995","227651","245466","247680","261922","289271","285591","292952"
"60","JPMorgan Chase Bank","0","Coney Island Avenue Branch","142","1968-01-06","1968-01-06","2730 Coney Island Avenue","Brooklyn","Kings","NY","11235","40.590159999999997","-73.960639999999998","151017","153682","156303","183572","199027","199141","223629"
"61","JPMorgan Chase Bank","0","Thornwood Branch","144","1969-02-01","1969-02-01","608 Columbus Avenue","Thornwood","Westchester","NY","10594","41.113010000000003","-73.772180000000006","140401","145620","151223","162526","167717","166077","184267"
"62","JPMorgan Chase Bank","0","Garment Center Branch","148","1969-11-24","1969-11-24","1411 Broadway","New York City","New York","NY","10018","40.754109999999997","-73.986940000000004","722415","756573","825562","921794","1028179","1088274","1107800"
"63","JPMorgan Chase Bank","0","Bainbridge Branch","149","1970-01-17","1970-01-17","3169 Bainbridge Avenue","Bronx","Bronx","NY","10467","40.875140000000002","-73.879559999999998","95881","97372","101001","106185","112012","108989","113878"
"64","JPMorgan Chase Bank","0","Bayside South Branch","151","1970-09-26","1970-09-26","215-16 73rd Avenue","Oakland Gardens","Queens","NY","11364","40.740580000000001","-73.758970000000005","154441","155722","166811","178915","187522","185374","197150"
"65","JPMorgan Chase Bank","0","White Plains Branch","154","1971-04-17","1971-04-17","191 Mamaroneck Avenue","White Plains","Westchester","NY","10601","41.028100000000002","-73.764759999999995","435292","415391","428516","456042","436171","452475","452700"
"66","JPMorgan Chase Bank","0","Kew Gardens Hills Branch","156","1971-11-15","1971-11-15","71-41 Main Street","Flushing","Queens","NY","11367","40.727130000000002","-73.821899999999999","253851","277587","298261","323460","338008","358750","373343"
"67","JPMorgan Chase Bank","0","Restoration Plaza Branch","158","1971-12-20","1971-12-20","1380 Fulton Street","Brooklyn","Kings","NY","11216","40.680169999999997","-73.945480000000003","103719","108159","114156","121110","131026","147089","168128"
"68","JPMorgan Chase Bank","0","Water Street Branch","159","1972-04-03","1972-04-03","55 Water Street","New York City","New York","NY","10041","40.62724","-74.075839999999999","1002240","965981","959075","976472","996233","992896","1069059"
"69","JPMorgan Chase Bank","0","Mineola Branch","163","1972-11-10","1972-11-10","32 Jericho Turnpike","Mineola","Nassau","NY","11501","40.751109999999997","-73.63561","88738","93165","100406","115772","128278","135141","176190"
"70","JPMorgan Chase Bank","0","East Flushing Branch","165","1973-06-08","1973-06-08","196-03 Northern Boulevard","Flushing","Queens","NY","11358","40.757989999999999","-73.785499999999999","82032","90628","96660","106917","115674","121256","130731"
"71","JPMorgan Chase Bank","0","Knolls Crescent Branch","171","1974-12-06","1974-12-06","13b Knolls Crescent","Bronx","Bronx","NY","10463","40.878860000000003","-73.917230000000004","102620","104179","111486","116699","119020","120116","122159"
"72","JPMorgan Chase Bank","0","Sixth Avenue and 23rd St Branch","172","1975-01-06","1975-01-06","71 West 23rd Street","New York City","New York","NY","10010","40.742550000000001","-73.991810000000001","198983","217332","256321","283391","300821","326825","400764"
"73","JPMorgan Chase Bank","0","Amityville Driveup Branch","174","1954-06-14","1975-01-18","4 John St","Amityville","Suffolk","NY","11701","40.678939999999997","-73.419690000000003","93106","92272","96994","118907","115708","120730","125922"
"74","JPMorgan Chase Bank","0","Babylon Branch","176","1955-03-07","1975-01-18","31 West Main Street","Babylon","Suffolk","NY","11702","40.696420000000003","-73.323679999999996","261976","262704","261589","289395","281756","292377","314562"
"75","JPMorgan Chase Bank","0","Center Moriches Main St Branch","178","1955-11-07","1975-01-18","366 Main St","Center Moriches","Suffolk","NY","11934","40.800379999999997","-72.794229999999999","109615","108206","115658","116485","119196","124078","125948"
"76","JPMorgan Chase Bank","0","Deer Park Grand Blvd Branch","184","1965-01-21","1975-01-18","615 Grand Boulevard","Deer Park","Suffolk","NY","11729","40.758949999999999","-73.319999999999993","161904","163054","172441","186840","194550","211782","245797"
"77","JPMorgan Chase Bank","0","East Northportlarkfield Rd Branch","186","1950-11-04","1975-01-18","271 Larkfield Road","East Northport","Suffolk","NY","11731","40.875340000000001","-73.324240000000003","112628","113621","113899","121359","128286","129058","135773"
"78","JPMorgan Chase Bank","0","Bar Harbour Branch","193","1957-05-11","1975-01-18","4970 Merrick Road","Massapequa Park","Nassau","NY","11762","40.666379999999997","-73.451509999999999","144089","140839","154233","182186","183189","191372","225002"
"79","JPMorgan Chase Bank","0","Melville Branch","197","1958-12-15","1975-01-18","115 Broad Hollow Road","Melville","Suffolk","NY","11747","40.788939999999997","-73.415430000000001","150161","175267","196333","211336","228141","238768","257023"
"80","JPMorgan Chase Bank","0","North Bellmore Branch","198","1956-10-20","1975-01-18","1542 Bellmore Avenue","North Bellmore","Nassau","NY","11710","40.683689999999999","-73.539259999999999","118453","120413","120700","129811","140842","145634","160506"
"81","JPMorgan Chase Bank","0","Northport Main St Branch","200","1952-12-23","1975-01-18","54 Main Street","Northport","Suffolk","NY","11768","40.900219999999997","-73.351110000000006","114464","124469","123740","130417","146551","148851","161857"
"82","JPMorgan Chase Bank","0","Riverhead Shopping Center Branch","204","1957-07-15","1975-01-18","1450 Old Country Road","Riverhead","Suffolk","NY","11901","40.926650000000002","-72.689850000000007","18110","22493","30425","34501","37364","42626","51220"
"83","JPMorgan Chase Bank","0","Seaford Branch","207","1958-05-26","1975-01-18","3875 Merrick Road","Seaford","Nassau","NY","11783","40.665889999999997","-73.489009999999993","166917","161700","165219","178338","177770","176259","196502"
"84","JPMorgan Chase Bank","0","Southampton Driveup Branch","209","1963-03-18","1975-01-18","66 Nugent St","Southampton","Suffolk","NY","11968","40.886020000000002","-72.391750000000002","181336","185736","205727","244476","286428","354528","377210"
"85","JPMorgan Chase Bank","0","South Huntington Branch","211","1962-07-14","1975-01-18","55 W Jericho Tpke","Huntington Station","Suffolk","NY","11746","40.828490000000002","-73.411839999999998","170273","166491","188734","194858","203226","212423","221615"
"86","JPMorgan Chase Bank","0","North Massapequa Branch","212","1957-10-26","1975-01-18","1090 Hicksville Road","North Massapequa","Nassau","NY","11758","40.695880000000002","-73.480770000000007","231524","241475","258925","266756","260254","277246","295880"
"87","JPMorgan Chase Bank","0","Wantagh Branch","213","1952-10-04","1975-01-18","1201 Wantagh Avenue","Wantagh","Nassau","NY","11793","40.693260000000002","-73.507729999999995","231604","229646","234722","248764","249229","261668","290658"
"88","JPMorgan Chase Bank","0","West Babylon Branch","214","1963-08-08","1975-01-18","595 Sunrise Highway","West Babylon","Suffolk","NY","11704","40.713630000000002","-73.349109999999996","129530","133026","139176","145220","145100","148631","218498"
"89","JPMorgan Chase Bank","0","Wyandanch Compare Foods Branch","217","1960-04-23","1975-01-18","1551 Straight Path Road, Assoc. Mkt.","Wyandanch","Suffolk","NY","11798","40.752049999999997","-73.361440000000002","19727","19658","20534","21076","20549","22264","23416"
"90","JPMorgan Chase Bank","0","North Patchogue Branch","222","1968-03-28","1975-01-18","472 Medford Avenue","North Patchogue","Suffolk","NY","11772","40.784039999999997","-73.008769999999998","84085","84929","87575","90701","93801","93201","105594"
"91","JPMorgan Chase Bank","0","West Bay Shore Branch","223","1968-04-04","1975-01-18","840 Sunrise Highway","Bay Shore","Suffolk","NY","11706","40.729230000000001","-73.278090000000006","138095","137232","144709","158294","153951","160476","172331"
"92","JPMorgan Chase Bank","0","Huntington Branch","226","1968-11-12","1975-01-18","350 Main Street","Huntington","Suffolk","NY","11743","40.870739999999998","-73.430570000000003","468473","521308","555338","610032","606844","679446","714983"
"93","JPMorgan Chase Bank","0","Mineola Court House Branch","235","1970-06-29","1975-01-18","216 Old Country Road","Mineola","Nassau","NY","11501","40.738819999999997","-73.640010000000004","274996","276252","290593","291617","287279","307242","307257"
"94","JPMorgan Chase Bank","0","East Farmingdale Branch","239","1971-04-28","1975-01-18","1745 Broad Hollow Road","East Farmingdale","Suffolk","NY","11735","40.744419999999998","-73.422640000000001","62842","95038","89987","122210","151270","132133","186493"
"95","JPMorgan Chase Bank","0","Arthur Avenue Branch","245","1952-11-24","1975-01-18","2402 Arthur Avenue","Bronx","Bronx","NY","10458","40.855800000000002","-73.887360000000001","91268","89264","91370","98079","100594","104040","115766"
"96","JPMorgan Chase Bank","0","Madison Avenue & 86th Street Branch","247","1964-05-04","1975-01-18","12 East 86th Street","New York City","New York","NY","10028","40.781329999999997","-73.960070000000002","409788","464061","482450","467755","463682","461811","482959"
"97","JPMorgan Chase Bank","0","Hauppauge Branch","255","1972-05-24","1975-01-18","200 Motor Parkway","Hauppauge","Suffolk","NY","11788","40.806789999999999","-73.254630000000006","169328","177093","197653","208731","220078","250431","280743"
"98","JPMorgan Chase Bank","0","Macarthur Airport Vets Hwy Branch","257","1972-10-25","1975-01-18","4155 Veterans Memorial Highway","Ronkonkoma","Suffolk","NY","11779","40.782319999999999","-73.095759999999999","122497","116919","129243","132146","144141","152568","167321"
"99","JPMorgan Chase Bank","0","Smithtown Branch","272","1956-01-12","1975-11-10","42 West Main Street","Smithtown","Suffolk","NY","11787","40.854790000000001","-73.195930000000004","185851","190827","197592","220513","223066","242579","279616"
"100","JPMorgan Chase Bank","0","Stony Brook Branch","276","1970-04-03","1975-11-10","2210 Nesconset Highway","Stony Brook","Suffolk","NY","11790","40.872610000000002","-73.12509","186061","207307","186930","193516","213523","216289","229279"
"101","JPMorgan Chase Bank","0","Fort Salonga Branch","284","1974-05-31","1975-11-10","2 Fort Salonga Road","Fort Salonga","Suffolk","NY","11768","40.912399999999998","-73.300510000000003","87282","72358","88157","101644","102771","104226","132302"
"102","JPMorgan Chase Bank","0","Nanuet Driveup Branch","287","1961-08-15","1977-04-01","39 Smith Street","Nanuet","Rockland","NY","10954","41.11233","-74.014390000000006","190614","202278","214019","225500","232985","231234","237031"
"103","JPMorgan Chase Bank","0","New York North Branch","288","1958-02-15","1977-04-01","333 Route 303","Orangeburg","Rockland","NY","10962","41.046669999999999","-73.945220000000006","121750","131683","178281","165874","169818","167399","184491"
"104","JPMorgan Chase Bank","0","Valley Cottage Branch","290","1963-12-02","1977-04-01","124 Route 303","Valley Cottage","Rockland","NY","10989","41.117339999999999","-73.94144","107207","111976","126575","129650","145166","152451","153305"
"105","JPMorgan Chase Bank","0","Yankee Stadium Branch","363","1928-10-20","1981-10-26","76 East 161st Street","Bronx","Bronx","NY","10451","40.827249999999999","-73.924760000000006","99634","108556","104552","112101","116762","121525","3480"
"106","JPMorgan Chase Bank","0","North Shore Towers Branch","368","1982-07-27","1982-07-27","27258 Grand Central Parkway","Floral Park","Queens","NY","11005","40.759230000000002","-73.712940000000003","110305","108121","111895","113204","112600","115365","122485"
"107","JPMorgan Chase Bank","0","Jefferson Valley Mall Branch","387","1984-02-07","1984-02-07","720 Lee Blvd At Route 6","Yorktown Heights","Westchester","NY","10598","41.331530000000001","-73.806460000000001","214831","216733","236906","273396","276412","271147","282530"
"108","JPMorgan Chase Bank","0","Gateway Plaza Branch","390","1984-06-07","1984-06-07","331-337 South End Avenue","New York City","New York","NY","10280","40.710529999999999","-74.016289999999998","260113","285836","287915","340904","345228","377184","364125"
"109","JPMorgan Chase Bank","0","Broadway and 79th Street Branch","425","1969-10-01","1990-11-09","2219 Broadway","New York City","New York","NY","10024","40.783900000000003","-73.980149999999995","395943","412710","489051","516803","584403","555985","584026"
"110","JPMorgan Chase Bank","0","Morris Park Branch","433","1983-08-31","1991-07-19","1068 Morris Park Avenue","Bronx","Bronx","NY","10461","40.849110000000003","-73.854020000000006","126512","129094","136031","145582","151088","164809","223222"
"111","JPMorgan Chase Bank","0","Tottenville Branch","444","1974-08-23","1991-11-08","280 Page Avenue","Staten Island","Richmond","NY","10307","40.517180000000003","-74.234129999999993","100874","106069","105249","124999","136014","152985","163243"
"112","JPMorgan Chase Bank","0","Brentwood Branch","452","1936-12-01","1992-03-13","1800 Brentwood Road","Brentwood","Suffolk","NY","11717","40.778570000000002","-73.246170000000006","67617","71120","70120","77884","78620","81544","88342"
"113","JPMorgan Chase Bank","0","Lake Ronkonkoma Branch","458","1965-07-23","1992-03-13","601 Portion Road Lake Shore Plaza","Lake Ronkonkoma","Suffolk","NY","11779","40.830410000000001","-73.09187","136362","142057","164646","161146","162623","161719","172494"
"114","JPMorgan Chase Bank","0","Bellmore Branch","465","1966-02-21","1992-06-20","2631 Merrick Road","Bellmore","Nassau","NY","11710","40.662990000000001","-73.528540000000007","157461","171357","180755","179743","193951","205398","218548"
"115","JPMorgan Chase Bank","0","Allerton Avenue Branch","466","1936-08-01","1992-06-20","748 Allerton Avenue","Bronx","Bronx","NY","10467","40.865400000000001","-73.865430000000003","66486","67543","63695","66252","70273","76970","82549"
"116","JPMorgan Chase Bank","0","Riverdale North Branch","467","1963-04-29","1992-06-20","5656 Riverdale Avenue","Bronx","Bronx","NY","10471","40.905589999999997","-73.904390000000006","96722","102128","107326","118795","130364","127864","139053"
"117","JPMorgan Chase Bank","0","Boynton Avenue Branch","469","1927-04-14","1992-06-20","1536 Westchester Avenue","Bronx","Bronx","NY","10472","40.82864","-73.878360000000001","38890","39441","45274","50041","56442","60162","61872"
"118","JPMorgan Chase Bank","0","City Island Branch","470","1939-05-15","1992-06-20","207 City Island Avenue","Bronx","Bronx","NY","10464","40.844250000000002","-73.78537","74028","71203","74897","83269","84015","81752","87474"
"119","JPMorgan Chase Bank","0","Concourse Branch","471","1926-12-06","1992-06-20","128 East Fordham Road","Bronx","Bronx","NY","10468","40.862360000000002","-73.898099999999999","92532","96626","103650","110381","115712","123640","129136"
"120","JPMorgan Chase Bank","0","Melrose Branch","472","1949-11-21","1992-06-20","360 East 149th Street","Bronx","Bronx","NY","10455","40.816409999999998","-73.918959999999998","143362","139353","138835","142950","142865","148608","153533"
"121","JPMorgan Chase Bank","0","Mosholu Branch","473","1928-06-15","1992-06-20","3408 Jerome Avenue","Bronx","Bronx","NY","10467","40.881","-73.883219999999994","85813","95107","98688","220304","118507","118387","131595"
"122","JPMorgan Chase Bank","0","Pelham Parkway Branch","474","1928-11-06","1992-06-20","2126 White Plains Road","Bronx","Bronx","NY","10462","40.854140000000001","-73.867639999999994","166924","168331","172688","183194","186641","206817","214699"
"123","JPMorgan Chase Bank","0","New Lots Branch","479","1961-03-13","1992-06-20","2100 Linden Boulevard","Brooklyn","Kings","NY","11207","40.660739999999997","-73.88503","40157","42180","42957","47242","53978","56586","60407"
"124","JPMorgan Chase Bank","0","Boro Park Branch","483","1925-02-02","1992-06-20","4901 Thirteenth Avenue","Brooklyn","Kings","NY","11219","40.63496","-73.992199999999997","372403","377184","382038","499734","577501","666093","850875"
"125","JPMorgan Chase Bank","0","Brooklyn Trust Branch","485","1950-10-16","1992-06-20","177 Montague Street","Brooklyn","Kings","NY","11201","40.694229999999997","-73.992230000000006","463182","448075","480266","543999","594112","611802","656295"
