"RowNumber","Institution Name","Main Office","Branch Name","Branch Number","Established Date","Acquired Date","Street Address","City","County","State","Zipcode","Latitude","Longitude","2010 Deposits","2011 Deposits","2012 Deposits","2013 Deposits","2014 Deposits","2015 Deposits","2016 Deposits"
"1089","JPMorgan Chase Bank","0","Wixom Branch","2850","1998-06-01","2004-11-13","29750 Wixom Road","Wixom","Oakland","MI","48393","42.51041","-83.536879999999996","30088","31475","31611","30678","34358","38400","42521"
"1090","JPMorgan Chase Bank","0","Colony Lakes Branch","2851","2002-06-18","2004-11-13","6220 State Highway 6","Missouri City","Fort Bend","TX","77459","29.564350000000001","-95.563299999999998","52848","57960","65764","78560","93796","100839","121634"
"1091","JPMorgan Chase Bank","0","Downtown Main Milwaukee Branch","2852","1901-09-01","2004-11-13","111 East Wisconsin Avenue","Milwaukee","Milwaukee","WI","53202","43.038629999999998","-87.90934","2305660","3110446","3332864","3541565","3420665","3986938","3626444"
"1092","JPMorgan Chase Bank","0","Paradise Branch","2853","1988-04-18","2004-11-13","600 West Paradise Drive","West Bend","Washington","WI","53095","43.397799999999997","-88.184359999999998","18594","21532","27551","30829","33582","35841","42020"
"1093","JPMorgan Chase Bank","0","West Bend Main Office Branch","2854","1839-01-01","2004-11-13","801 West Washington Street","West Bend","Washington","WI","53095","43.426830000000002","-88.186890000000005","43062","45175","50407","53307","56786","59921","64068"
"1094","JPMorgan Chase Bank","0","North Port Branch","2855","1968-03-29","2004-11-13","8737 North Port Washington Road","Fox Point","Milwaukee","WI","53217","43.175550000000001","-87.912859999999995","130905","141437","151783","188075","132480","141854","153157"
"1095","JPMorgan Chase Bank","0","Brown Deer Branch","2856","1921-01-01","2004-11-13","8800 West Brown Deer Road","Milwaukee","Milwaukee","WI","53224","43.177900000000001","-88.020769999999999","20201","22075","25565","26565","28824","28746","30680"
"1096","JPMorgan Chase Bank","0","2nd and Capitol Branch","2857","1920-08-20","2004-11-13","210 West Capitol Drive","Milwaukee","Milwaukee","WI","53212","43.089399999999998","-87.912779999999998","37391","39120","41807","47657","48748","50970","56969"
"1097","JPMorgan Chase Bank","0","Second and Capitol Drive-Up Branch","2858","1979-06-18","2004-11-13","211 West Capitol Drive","Milwaukee","Milwaukee","WI","53212","43.089179999999999","-87.912210000000002","0","0","0","0","0","0","0"
"1098","JPMorgan Chase Bank","0","Greenfield & 16th Branch","2859","1912-05-08","2004-11-13","1337 S Cesar E Chavez Dr","Milwaukee","Milwaukee","WI","53204","43.017479999999999","-87.933120000000002","35608","36923","41320","41398","42066","45066","47797"
"1099","JPMorgan Chase Bank","0","Cudahy Branch","2860","1909-10-02","2004-11-13","4702 South Packard Avenue","Cudahy","Milwaukee","WI","53110","42.9589","-87.86009","69301","89043","92429","100196","106187","101844","102952"
"1100","JPMorgan Chase Bank","0","Wauwatosa Branch","2861","1907-05-15","2004-11-13","7430 West State Street","Wauwatosa","Milwaukee","WI","53213","43.048969999999997","-88.006140000000002","65604","70438","76386","82839","93326","100224","113915"
"1101","JPMorgan Chase Bank","0","Mequon Branch","2863","1981-12-16","2004-11-13","5909 West Mequon Road","Mequon","Ozaukee","WI","53092","43.221440000000001","-87.983680000000007","55640","57916","65411","83126","84334","91966","106404"
"1102","JPMorgan Chase Bank","0","Delafield Branch","2864","1910-02-16","2004-11-13","524 Genesee Street","Delafield","Waukesha","WI","53018","43.059719999999999","-88.404200000000003","54270","59577","65426","62470","80237","81549","81064"
"1103","JPMorgan Chase Bank","0","Eagle Branch","2865","1947-03-24","2004-11-13","111 West Main Street","Eagle","Waukesha","WI","53119","42.878990000000002","-88.474699999999999","17025","17025","18855","20552","23701","23818","26399"
"1104","JPMorgan Chase Bank","0","Wales Branch","2866","1910-02-06","2004-11-13","271 Summit Avenue","Wales","Waukesha","WI","53183","43.012099999999997","-88.383139999999997","21386","23981","24825","26908","30681","30680","37564"
"1105","JPMorgan Chase Bank","0","Germantown Branch","2867","1910-02-28","2004-11-13","W156n11251 Pilgrim Road","Germantown","Washington","WI","53022","43.221550000000001","-88.103210000000004","55454","56564","64732","73523","81357","89270","106177"
"1106","JPMorgan Chase Bank","0","Brookfield Branch","2868","1907-05-06","2004-11-13","14900 West Capitol Drive","Brookfield","Waukesha","WI","53005","43.089930000000003","-88.09778","90882","104300","125038","125906","132501","137363","145054"
"1107","JPMorgan Chase Bank","0","Pewaukee Branch","2869","1936-06-20","2004-11-13","110 Oakton Avenue","Pewaukee","Waukesha","WI","53072","43.082729999999998","-88.261849999999995","45674","49288","53251","70402","74742","73837","85996"
"1108","JPMorgan Chase Bank","0","Waukesha Branch","2870","1963-04-22","2004-11-13","101 West Broadway","Waukesha","Waukesha","WI","53186","43.009709999999998","-88.22681","64181","72217","69920","80703","75971","73225","81706"
"1109","JPMorgan Chase Bank","0","East Waukesha Branch","2871","1969-01-27","2004-11-13","2402 East Moreland Boulevard","Waukesha","Waukesha","WI","53186","43.03257","-88.177509999999998","62558","67728","78847","93520","100658","112495","126153"
"1110","JPMorgan Chase Bank","0","Elmbrook Branch","2872","1962-12-17","2004-11-13","2255 Calhoun Road","Brookfield","Waukesha","WI","53005","43.060479999999998","-88.12621","78437","87150","102144","119436","133107","142844","163181"
"1111","JPMorgan Chase Bank","0","New Berlin Branch","2873","1960-01-04","2004-11-13","15525 West National Avenue","New Berlin","Waukesha","WI","53151","42.976709999999997","-88.107699999999994","84622","96048","103946","109836","120717","123166","134546"
"1112","JPMorgan Chase Bank","0","Oconomowoc Branch","2874","1932-06-02","2004-11-13","138 East Wisconsin Avenue","Oconomowoc","Waukesha","WI","53066","43.110959999999999","-88.498249999999999","48467","48696","54702","56942","55845","58260","62909"
"1113","JPMorgan Chase Bank","0","Butler Branch","2875","1947-02-17","2004-11-13","12701 West Hampton Avenue","Butler","Waukesha","WI","53007","43.104599999999998","-88.069559999999996","49281","48689","48674","52221","53590","55746","59030"
